x,y
1.00000,    0.20000
0.99384,    0.20050
0.97553,    0.20232
0.94550,    0.20644
0.90451,    0.21401
0.85355,    0.22455
0.79389,    0.23729
0.72700,    0.25085
0.65451,    0.26309
0.57822,    0.27089
0.50000,    0.27450
0.42178,    0.27473
0.34549,    0.27228
0.27301,    0.26750
0.20611,    0.26071
0.14645,    0.25230
0.09549,    0.24262
0.05450,    0.23236
0.02448,    0.22220
0.00616,    0.21252
0.00000,    0.20000
0.00616,    0.18748
0.02448,    0.17780
0.05450,    0.16764
0.09549,    0.15738
0.14645,    0.14770
0.20611,    0.13929
0.27301,    0.13250
0.34549,    0.12772
0.42178,    0.12528
0.50000,    0.12550
0.57822,    0.12911
0.65451,    0.13691
0.72700,    0.14915
0.79389,    0.16271
0.85355,    0.17545
0.90451,    0.18599
0.94550,    0.19356
0.97553,    0.19768
0.99384,    0.19950
1.00000,    0.20000
